paper_id,paper_title,metric,metric_smaller_category,metric_larger_category,outcome,outcome_smaller_category,outcome_larger_category,outcome_instrument,analysis_method,analysis_result
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","group participation speaking cues (speaking length, speaking turns, successful interruptions, unsuccessful interruptions, backchannels)",speech participation,verbal,"group interpersonal perception (perceived dominance, perceived leadership, perceived competence, perceived liking)",interpersonal relationship / perception,process,questionnaire,correlation,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","group participation speaking cues (speaking length, speaking turns, successful interruptions, unsuccessful interruptions, backchannels)",speech participation,verbal,group performance (negative distance between expert list and group list),performance,product,negative distance between expert list and group list,correlation,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","group participation speaking cues (speaking length, speaking turns, successful interruptions, unsuccessful interruptions, backchannels)",speech participation,verbal,"group composition (agreeableness, conscientiousness, extraversion, neuroticism, and openness to experience)",group composition,condition,neo-ffi questionnaire,regression,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","silence and overlap cues (fraction of silence, fraction of nonoverlapped speech, fraction of two-people and three-people overlapped speech)",speech participation,verbal,"group composition (agreeableness, conscientiousness, extraversion, neuroticism, and openness to experience)",group composition,condition,neo-ffi questionnaire,correlation,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","silence and overlap cues (fraction of silence, fraction of nonoverlapped speech, fraction of two-people and three-people overlapped speech)",speech participation,verbal,"group interpersonal perception (perceived dominance, perceived leadership, perceived competence, perceived liking)",interpersonal relationship / perception,process,questionnaire,correlation,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","silence and overlap cues (fraction of silence, fraction of nonoverlapped speech, fraction of two-people and three-people overlapped speech)",speech participation,verbal,group performance (negative distance between expert list and group list),performance,product,negative distance between expert list and group list,correlation,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","silence and overlap cues (fraction of silence, fraction of nonoverlapped speech, fraction of two-people and three-people overlapped speech)",speech participation,verbal,"group composition (agreeableness, conscientiousness, extraversion, neuroticism, and openness to experience)",group composition,condition,neo-ffi questionnaire,regression,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","silence and overlap cues (fraction of silence, fraction of nonoverlapped speech, fraction of two-people and three-people overlapped speech)",speech participation,verbal,"group interpersonal perception (perceived dominance, perceived leadership, perceived competence, perceived liking)",interpersonal relationship / perception,process,questionnaire,regression,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","silence and overlap cues (fraction of silence, fraction of nonoverlapped speech, fraction of two-people and three-people overlapped speech)",speech participation,verbal,group performance (negative distance between expert list and group list),performance,product,negative distance between expert list and group list,regression,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","speaking distribution cues (speaking length skew, speaking turns skew, successful interruption skew, unsuccessful interruptions skew, backchannels skew)",speech participation,verbal,"group composition (agreeableness, conscientiousness, extraversion, neuroticism, and openness to experience)",group composition,condition,neo-ffi questionnaire,correlation,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","speaking distribution cues (speaking length skew, speaking turns skew, successful interruption skew, unsuccessful interruptions skew, backchannels skew)",speech participation,verbal,"group interpersonal perception (perceived dominance, perceived leadership, perceived competence, perceived liking)",interpersonal relationship / perception,process,questionnaire,correlation,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","speaking distribution cues (speaking length skew, speaking turns skew, successful interruption skew, unsuccessful interruptions skew, backchannels skew)",speech participation,verbal,group performance (negative distance between expert list and group list),performance,product,negative distance between expert list and group list,correlation,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","speaking distribution cues (speaking length skew, speaking turns skew, successful interruption skew, unsuccessful interruptions skew, backchannels skew)",speech participation,verbal,"group interpersonal perception (perceived dominance, perceived leadership, perceived competence, perceived liking)",interpersonal relationship / perception,process,questionnaire,regression,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance",individual visual focus of attention,gaze / eye direction,gaze,"group composition (agreeableness, conscientiousness, extraversion, neuroticism, and openness to experience)",group composition,condition,neo-ffi questionnaire,correlation,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance",individual visual focus of attention,gaze / eye direction,gaze,"group interpersonal perception (perceived dominance, perceived leadership, perceived competence, perceived liking)",interpersonal relationship / perception,process,questionnaire,correlation,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance",individual visual focus of attention,gaze / eye direction,gaze,group performance (negative distance between expert list and group list),performance,product,negative distance between expert list and group list,correlation,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","group looking cues (fraction of people gaze, fraction of convergent gaze, fraction of mutual gaze, fraction of shared gaze, gaze skew)",gaze / eye direction,gaze,"group composition (agreeableness, conscientiousness, extraversion, neuroticism, and openness to experience)",group composition,condition,neo-ffi questionnaire,correlation,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","group looking cues (fraction of people gaze, fraction of convergent gaze, fraction of mutual gaze, fraction of shared gaze, gaze skew)",gaze / eye direction,gaze,"group interpersonal perception (perceived dominance, perceived leadership, perceived competence, perceived liking)",interpersonal relationship / perception,process,questionnaire,correlation,sig
10,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","group looking cues (fraction of people gaze, fraction of convergent gaze, fraction of mutual gaze, fraction of shared gaze, gaze skew)",gaze / eye direction,gaze,group performance (negative distance between expert list and group list),performance,product,negative distance between expert list and group list,correlation,sig
11,Automatic Recognition of Affective Laughter in Spontaneous Dyadic Interactions from Audiovisual Signals,88 gemaps acoustic features,audio features,verbal,voiced laughter,interpersonal relationship / perception,process,voicing probability and unvoiced frame ratio,sup. machine learning,ns
11,Automatic Recognition of Affective Laughter in Spontaneous Dyadic Interactions from Audiovisual Signals,88 gemaps acoustic features,audio features,verbal,unvoiced laughter,interpersonal relationship / perception,process,voicing probability and unvoiced frame ratio,sup. machine learning,ns
11,Automatic Recognition of Affective Laughter in Spontaneous Dyadic Interactions from Audiovisual Signals,88 gemaps acoustic features,audio features,verbal,speech laughter,interpersonal relationship / perception,process,human annotations,sup. machine learning,ns
11,Automatic Recognition of Affective Laughter in Spontaneous Dyadic Interactions from Audiovisual Signals,102 extended gemaps acoustic features,audio features,verbal,voiced laughter,interpersonal relationship / perception,process,voicing probability and unvoiced frame ratio,sup. machine learning,ns
11,Automatic Recognition of Affective Laughter in Spontaneous Dyadic Interactions from Audiovisual Signals,102 extended gemaps acoustic features,audio features,verbal,speech laughter,interpersonal relationship / perception,process,human annotations,sup. machine learning,ns
11,Automatic Recognition of Affective Laughter in Spontaneous Dyadic Interactions from Audiovisual Signals,12 mfccs,audio features,verbal,voiced laughter,interpersonal relationship / perception,process,voicing probability and unvoiced frame ratio,sup. machine learning,ns
11,Automatic Recognition of Affective Laughter in Spontaneous Dyadic Interactions from Audiovisual Signals,12 mfccs,audio features,verbal,unvoiced laughter,interpersonal relationship / perception,process,voicing probability and unvoiced frame ratio,sup. machine learning,ns
11,Automatic Recognition of Affective Laughter in Spontaneous Dyadic Interactions from Audiovisual Signals,12 mfccs,audio features,verbal,speech laughter,interpersonal relationship / perception,process,human annotations,sup. machine learning,ns
11,Automatic Recognition of Affective Laughter in Spontaneous Dyadic Interactions from Audiovisual Signals,51 facial action units,facial expression,head,voiced laughter,interpersonal relationship / perception,process,voicing probability and unvoiced frame ratio,sup. machine learning,ns
11,Automatic Recognition of Affective Laughter in Spontaneous Dyadic Interactions from Audiovisual Signals,51 facial action units,facial expression,head,unvoiced laughter,interpersonal relationship / perception,process,voicing probability and unvoiced frame ratio,sup. machine learning,ns
11,Automatic Recognition of Affective Laughter in Spontaneous Dyadic Interactions from Audiovisual Signals,51 facial action units,facial expression,head,speech laughter,interpersonal relationship / perception,process,human annotations,sup. machine learning,ns
12,Predicting Group Performance in Task-Based Interaction,speech features,audio features,verbal,group performance scores,performance,product,group scores compared to expert scores,sup. machine learning,64.4
12,Predicting Group Performance in Task-Based Interaction,linguistic features,verbal content,verbal,group performance scores,performance,product,group scores compared to expert scores,sup. machine learning,64.4
14,Looking AT versus Looking THROUGH: A Dual Eye-tracking Study in MOOC Context,perceptual with-me-ness (gaze),gaze / eye direction,gaze,learning gains,learning,product,pre-post test,correlation,sig (r = 0.51)
14,Looking AT versus Looking THROUGH: A Dual Eye-tracking Study in MOOC Context,conceptual with-me-ness (gaze),gaze / eye direction,gaze,learning gains,learning,product,pre-post test,correlation,sig (r = 0.41)
14,Looking AT versus Looking THROUGH: A Dual Eye-tracking Study in MOOC Context,gaze similarity,gaze / eye direction,gaze,learning gains,learning,product,pre-post test,correlation,sig (r = 0.39)
15,A Network Analytic Approach to Gaze Coordination during a Collaborative Task,gaze fixations,gaze / eye direction,gaze,reference-action sequence,performance,product,researcher codes,correlation,ns
15,A Network Analytic Approach to Gaze Coordination during a Collaborative Task,gaze saccades,eye motion,gaze,reference-action sequence,performance,product,researcher codes,correlation,ns
17,"The Additive Value of Multimodal Features for Predicting Engagement, Frustration, and Learning during Tutoring",dialogue acts,verbal content,verbal,engagement,individual cognitive processes,process,participant self report,regression,sig
17,"The Additive Value of Multimodal Features for Predicting Engagement, Frustration, and Learning during Tutoring",dialogue acts,verbal content,verbal,frustration,affective state,process,participant self report,regression,sig
17,"The Additive Value of Multimodal Features for Predicting Engagement, Frustration, and Learning during Tutoring",dialogue acts,verbal content,verbal,learning,learning,product,pre-post test,regression,sig
17,"The Additive Value of Multimodal Features for Predicting Engagement, Frustration, and Learning during Tutoring",facial expression,facial expression,head,engagement,individual cognitive processes,process,participant self report,regression,sig
17,"The Additive Value of Multimodal Features for Predicting Engagement, Frustration, and Learning during Tutoring",facial expression,facial expression,head,frustration,affective state,process,participant self report,regression,sig
17,"The Additive Value of Multimodal Features for Predicting Engagement, Frustration, and Learning during Tutoring",facial expression,facial expression,head,learning,learning,product,pre-post test,regression,sig
17,"The Additive Value of Multimodal Features for Predicting Engagement, Frustration, and Learning during Tutoring",gesture,hand motion,body,engagement,individual cognitive processes,process,participant self report,regression,sig
17,"The Additive Value of Multimodal Features for Predicting Engagement, Frustration, and Learning during Tutoring",gesture,hand motion,body,frustration,affective state,process,participant self report,regression,sig
17,"The Additive Value of Multimodal Features for Predicting Engagement, Frustration, and Learning during Tutoring",gesture,hand motion,body,learning,learning,product,pre-post test,regression,sig
18,(Dis)Engagement Maters: Identifying Efficacious Learning Practices with Multimodal Learning Analytics,clustered hand/wrist movement,hand motion,body,learning gains,learning,product,pre-post test (references to  principles or mechanisms that confer stability to three example structures),sup. machine learning,sig (acc
19,Dual Gaze as a Proxy for Collaboration in Informal Learning,(not) focused together,gaze / eye direction,gaze,level of understanding,learning,product,researcher codes,anova,"sig (f [1,16]=8.70)"
19,Dual Gaze as a Proxy for Collaboration in Informal Learning,(not) focused together,gaze / eye direction,gaze,level of understanding,learning,product,researcher codes,anova,"sig (f [1,61]=7.60)"
19,Dual Gaze as a Proxy for Collaboration in Informal Learning,"dialogue episodes (description, management)",verbal content,verbal,level of understanding,learning,product,researcher codes,anova,"sig (f [1,61]=7.60)"
20,Using Eye-Tracking Technology to Support Visual Coordination in Collaborative Problem-Solving Groups,joint visual attention,gaze / eye direction,gaze,learning gains,learning,product,learning test,regression,sig
20,Using Eye-Tracking Technology to Support Visual Coordination in Collaborative Problem-Solving Groups,joint visual attention,gaze / eye direction,gaze,quality of collaboration,coordination,product,coding scheme,regression,sig
20,Using Eye-Tracking Technology to Support Visual Coordination in Collaborative Problem-Solving Groups,joint visual attention,gaze / eye direction,gaze,quality of collaboration,communication,product,coding scheme,regression,sig
21,Analysing frequent sequential patterns of collaborative learning activity around an interactive tabletop,events,task-related,activity log,group performance,performance,product,researcher codes,unsup. machine learning,sig
22,The Effect of Mutual Gaze Perception on Students’ Verbal Coordination,joint visual attention,gaze / eye direction,gaze,learning gains,learning,product,learning test,anova,nosig
22,The Effect of Mutual Gaze Perception on Students’ Verbal Coordination,joint visual attention,gaze / eye direction,gaze,quality of collaboration,coordination,product,coding scheme,anova,nosig
22,The Effect of Mutual Gaze Perception on Students’ Verbal Coordination,joint visual attention,gaze / eye direction,gaze,quality of collaboration,communication,product,coding scheme,anova,nosig
22,The Effect of Mutual Gaze Perception on Students’ Verbal Coordination,joint visual attention,gaze / eye direction,gaze,learning gains,learning,product,learning test,correlation,sig
22,The Effect of Mutual Gaze Perception on Students’ Verbal Coordination,n-grams,verbal content,verbal,learning gains,learning,product,learning test,sup. machine learning,75%
22,The Effect of Mutual Gaze Perception on Students’ Verbal Coordination,cosine similarity scores,verbal content,verbal,learning gains,learning,product,learning test,sup. machine learning,75%
22,The Effect of Mutual Gaze Perception on Students’ Verbal Coordination,convergence measures,verbal content,verbal,learning gains,learning,product,learning test,anova,nosig
22,The Effect of Mutual Gaze Perception on Students’ Verbal Coordination,convergence measures,verbal content,verbal,quality of collaboration,coordination,product,coding scheme,anova,nosig
22,The Effect of Mutual Gaze Perception on Students’ Verbal Coordination,convergence measures,verbal content,verbal,quality of collaboration,communication,product,coding scheme,anova,nosig
22,The Effect of Mutual Gaze Perception on Students’ Verbal Coordination,convergence measures,verbal content,verbal,learning gains,learning,product,learning test,sup. machine learning,75%
22,The Effect of Mutual Gaze Perception on Students’ Verbal Coordination,coherence metrics,verbal content,verbal,learning gains,learning,product,learning test,correlation,sig
22,The Effect of Mutual Gaze Perception on Students’ Verbal Coordination,coherence metrics,verbal content,verbal,learning gains,learning,product,learning test,sup. machine learning,75%
24,Detecting Collaborative Dynamics Using Mobile Eye-Trackers,joint visual attention,gaze / eye direction,gaze,learning gains,learning,product,learning test,qualitative,sig
24,Detecting Collaborative Dynamics Using Mobile Eye-Trackers,joint visual attention,gaze / eye direction,gaze,learning gains,learning,product,learning test,correlation,sig
24,Detecting Collaborative Dynamics Using Mobile Eye-Trackers,gestures,hand motion,body,learning gains,learning,product,learning test,qualitative,sig
24,Detecting Collaborative Dynamics Using Mobile Eye-Trackers,speech duration,speech participation,verbal,learning gains,learning,product,learning test,qualitative,sig
25,Expertise estimation based on simple multimodal features,calculator use,task-related,activity log,odds of a student solving correctly a problem,performance,product,researcher codes,regression,sig
25,Expertise estimation based on simple multimodal features,calculator use,task-related,activity log,expert prediction,group composition,condition,researcher codes,sup. machine learning,sig
25,Expertise estimation based on simple multimodal features,total movement,gross body motion,body,odds of a student solving correctly a problem,performance,product,researcher codes,regression,sig
25,Expertise estimation based on simple multimodal features,total movement,gross body motion,body,expert prediction,group composition,condition,researcher codes,sup. machine learning,sig
25,Expertise estimation based on simple multimodal features,distance from the center of the table,location,body,odds of a student solving correctly a problem,performance,product,researcher codes,regression,sig
25,Expertise estimation based on simple multimodal features,distance from the center of the table,location,body,expert prediction,group composition,condition,researcher codes,sup. machine learning,sig
25,Expertise estimation based on simple multimodal features,number of interventions,speech participation,verbal,odds of a student solving correctly a problem,performance,product,researcher codes,regression,sig
25,Expertise estimation based on simple multimodal features,number of interventions,speech participation,verbal,expert prediction,group composition,condition,researcher codes,sup. machine learning,sig
25,Expertise estimation based on simple multimodal features,total speech duration,speech participation,verbal,odds of a student solving correctly a problem,performance,product,researcher codes,regression,sig
25,Expertise estimation based on simple multimodal features,total speech duration,speech participation,verbal,expert prediction,group composition,condition,researcher codes,sup. machine learning,sig
25,Expertise estimation based on simple multimodal features,times numbers were mentioned,verbal content,verbal,odds of a student solving correctly a problem,performance,product,researcher codes,regression,sig
25,Expertise estimation based on simple multimodal features,times numbers were mentioned,verbal content,verbal,expert prediction,group composition,condition,researcher codes,sup. machine learning,sig
25,Expertise estimation based on simple multimodal features,times mathematical terms were mentioned,verbal content,verbal,odds of a student solving correctly a problem,performance,product,researcher codes,regression,sig
25,Expertise estimation based on simple multimodal features,times mathematical terms were mentioned,verbal content,verbal,expert prediction,group composition,condition,researcher codes,sup. machine learning,sig
25,Expertise estimation based on simple multimodal features,times commands were pronounced,verbal content,verbal,odds of a student solving correctly a problem,performance,product,researcher codes,regression,sig
25,Expertise estimation based on simple multimodal features,times commands were pronounced,verbal content,verbal,expert prediction,group composition,condition,researcher codes,sup. machine learning,sig
25,Expertise estimation based on simple multimodal features,total number of pen strokes,writing action,activity log,odds of a student solving correctly a problem,performance,product,researcher codes,regression,sig
25,Expertise estimation based on simple multimodal features,total number of pen strokes,writing action,activity log,expert prediction,group composition,condition,researcher codes,sup. machine learning,sig
25,Expertise estimation based on simple multimodal features,average number of points,writing action,activity log,odds of a student solving correctly a problem,performance,product,researcher codes,regression,sig
25,Expertise estimation based on simple multimodal features,average number of points,writing action,activity log,expert prediction,group composition,condition,researcher codes,sup. machine learning,sig
25,Expertise estimation based on simple multimodal features,average stroke time length,writing action,activity log,odds of a student solving correctly a problem,performance,product,researcher codes,regression,sig
25,Expertise estimation based on simple multimodal features,average stroke time length,writing action,activity log,expert prediction,group composition,condition,researcher codes,sup. machine learning,sig
25,Expertise estimation based on simple multimodal features,average stroke path length,writing action,activity log,odds of a student solving correctly a problem,performance,product,researcher codes,regression,sig
25,Expertise estimation based on simple multimodal features,average stroke path length,writing action,activity log,expert prediction,group composition,condition,researcher codes,sup. machine learning,sig
25,Expertise estimation based on simple multimodal features,average stroke displacement,writing action,activity log,odds of a student solving correctly a problem,performance,product,researcher codes,regression,sig
25,Expertise estimation based on simple multimodal features,average stroke displacement,writing action,activity log,expert prediction,group composition,condition,researcher codes,sup. machine learning,sig
25,Expertise estimation based on simple multimodal features,average stroke pressure,writing action,activity log,odds of a student solving correctly a problem,performance,product,researcher codes,regression,sig
25,Expertise estimation based on simple multimodal features,average stroke pressure,writing action,activity log,expert prediction,group composition,condition,researcher codes,sup. machine learning,sig
26,Personality Trait Classification via Co-Occurrent Multiparty Multimodal Event Discovery,speaking status,speech participation,verbal,big five personality traits scores,group composition,condition,self-reported survey + researcher codes,unsup. machine learning,69.61%
26,Personality Trait Classification via Co-Occurrent Multiparty Multimodal Event Discovery,pitch,audio features,verbal,big five personality traits scores,group composition,condition,self-reported survey + researcher codes,unsup. machine learning,69.61%
26,Personality Trait Classification via Co-Occurrent Multiparty Multimodal Event Discovery,energy,audio features,verbal,big five personality traits scores,group composition,condition,self-reported survey + researcher codes,unsup. machine learning,69.61%
26,Personality Trait Classification via Co-Occurrent Multiparty Multimodal Event Discovery,head motion,head motion,head,big five personality traits scores,group composition,condition,self-reported survey + researcher codes,unsup. machine learning,69.61%
26,Personality Trait Classification via Co-Occurrent Multiparty Multimodal Event Discovery,body motion,gross body motion,body,big five personality traits scores,group composition,condition,self-reported survey + researcher codes,unsup. machine learning,69.61%
26,Personality Trait Classification via Co-Occurrent Multiparty Multimodal Event Discovery,motion energy images,gross body motion,body,big five personality traits scores,group composition,condition,self-reported survey + researcher codes,unsup. machine learning,69.61%
26,Personality Trait Classification via Co-Occurrent Multiparty Multimodal Event Discovery,gaze,gaze / eye direction,gaze,big five personality traits scores,group composition,condition,self-reported survey + researcher codes,unsup. machine learning,69.61%
27,Dynamic Adaptive Gesturing Predicts Domain Expertise in Mathematics,total manual gestures per second,hand motion,body,expertise,group composition,condition,researcher codes,wilcoxon signed ranks test,sig
27,Dynamic Adaptive Gesturing Predicts Domain Expertise in Mathematics,iconic gestures per second,hand motion,body,expertise,group composition,condition,researcher codes,wilcoxon signed ranks test,sig
27,Dynamic Adaptive Gesturing Predicts Domain Expertise in Mathematics,deictic gestures per second,hand motion,body,expertise,group composition,condition,researcher codes,wilcoxon signed ranks test,non-sig
28,Capturing and analyzing verbal and physical collaborative learning interactions at an enriched interactive tabletop,sequences of verbal utterances,verbal content,verbal,colloboration quality,coordination,product,researcher codes,unsup. machine learning,90%
28,Capturing and analyzing verbal and physical collaborative learning interactions at an enriched interactive tabletop,sequences of verbal utterances,verbal content,verbal,colloboration quality,communication,product,researcher codes,unsup. machine learning,90%
28,Capturing and analyzing verbal and physical collaborative learning interactions at an enriched interactive tabletop,sequences of meaningful actions,touch,activity log,colloboration quality,coordination,product,researcher codes,unsup. machine learning,90%
28,Capturing and analyzing verbal and physical collaborative learning interactions at an enriched interactive tabletop,sequences of meaningful actions,touch,activity log,colloboration quality,communication,product,researcher codes,unsup. machine learning,90%
32,Automatic identification of experts and performance prediction in the multimodal math data corpus through analysis of speech interaction. ,duration of all vocalisations,speech participation,verbal,identity of the expert,group composition,condition,"student with the highest cumulative score of points assigned to correctly and incorrectly solved problems, weighted according a discrete diffculty level scale",sup. machine learning,sig (acc
32,Automatic identification of experts and performance prediction in the multimodal math data corpus through analysis of speech interaction. ,average duration of vocalisation,speech participation,verbal,identity of the expert,group composition,condition,"student with the highest cumulative score of points assigned to correctly and incorrectly solved problems, weighted according a discrete diffculty level scale",sup. machine learning,sig (acc
32,Automatic identification of experts and performance prediction in the multimodal math data corpus through analysis of speech interaction. ,standard deviation of vocalisation,speech participation,verbal,identity of the expert,group composition,condition,"student with the highest cumulative score of points assigned to correctly and incorrectly solved problems, weighted according a discrete diffculty level scale",sup. machine learning,sig (acc
32,Automatic identification of experts and performance prediction in the multimodal math data corpus through analysis of speech interaction. ,"probability of a transition from floor"" (i.e. a pause, group switching pause or speaker switching pause) to a vocalisation",speech participation,verbal,identity of the expert,group composition,condition,"student with the highest cumulative score of points assigned to correctly and incorrectly solved problems, weighted according a discrete diffculty level scale",sup. machine learning,sig (acc
32,Automatic identification of experts and performance prediction in the multimodal math data corpus through analysis of speech interaction. ,probability of a transition from a vocalisation to floor,speech participation,verbal,identity of the expert,group composition,condition,"student with the highest cumulative score of points assigned to correctly and incorrectly solved problems, weighted according a discrete diffculty level scale",sup. machine learning,sig (acc
